title,lat,lng
혜화경찰서,37.57258074,126.9974788
서울역사박물관.김구집무실(경교장),37.56990034,126.9721318
청계3가.관수교,37.56868879,126.9937794
청계6가.버들다리,37.56993039,127.0080377
청계7가.맑은내다리,37.56999753,127.0129554
청계8가.영도교,37.57094659,127.0182311
원남동사거리,37.57572287,126.9982147
숭인동,37.57427215,127.0204373
조계사,37.57280034,126.9831609
세종문화회관,37.57394965,126.9768673
이화동(이화장),37.576257,127.002955
상명대정문,37.60161972,126.9550207
이북오도청,37.61305032,126.9558883
상명대입구.세검정교회,37.59944351,126.9597922
상명대입구.석파랑,37.59957181,126.9581941
종로중부새마을금고,37.57241749,127.0065911
신설동로터리.신한은행앞.서울풍물시장,37.5743861,127.0231183
청계2가.삼일교,37.56844587,126.9872214
청계8가.황학교,37.57213073,127.022787
평창동삼성아파트,37.610967,126.978368
안국역.종로경찰서.인사동,37.57633293,126.9855365
안국역.종로경찰서.서울공예박물관,37.57640118,126.9847683
남인사마당,37.57131917,126.9874286
평창파출소,37.60568122,126.9668167
삼청공원,37.58822768,126.9816469
수성동계곡,37.58207916,126.9642468
명륜3가종점,37.59094838,126.9928637
명륜새마을금고,37.58765327,126.9967049
서대문3번출구,37.56641607,126.9662183
낙산공원,37.58040372,127.0087216
인사미술공간.세탁소,37.58141098,126.9893671
화정박물관,37.6048012,126.9648837
금융연수원,37.5865985,126.9815692
박노수미술관,37.58099674,126.9666035
샘미용실,37.59030953,126.9932227
서울국제고등학교,37.58907159,126.9972903
화정박물관,37.60498061,126.9652008
적십자병원후문앞,37.56752954,126.9652273
서울성곽.성대후문,37.5892577,126.9896321
빨래터.고희동미술관,37.58310083,126.9889728
세검초등학교,37.60425228,126.9614908
삼청동주민센터,37.58426383,126.9819072
통인시장,37.58045307,126.9687504
양현관,37.58979142,126.9936044
국민생활관,37.58974563,126.998862
오거리,37.60706212,126.9622629
경희궁자이2.3단지,37.56878711,126.9640686
창신쌍용2단지.한성대후문,37.5812648,127.0127581
통일부,37.58759481,126.9859477
원서고개,37.58308055,126.9878088
종로5가입구.혜화경찰서,37.57174724,126.9975411
삼청파출소,37.58181366,126.981251
오거리.한옥마을입구,37.57949632,126.9695411
명륜시장.성대후문,37.58851105,126.9952543
혜화초등학교,37.58725323,126.9998517
청련사입구,37.60798038,126.9624312
영천시장,37.57000501,126.9628352
명신초.삼선푸르지오.힐스테이트,37.58210621,127.0145563
감사원,37.58621065,126.9852901
중앙중고,37.58309218,126.9869653
인왕빌딩,37.60792833,126.9577443
종로4가.종묘공원,37.57063281,126.9944624
국립민속박물관,37.57925518,126.9795534
광화문새마을금고,37.57936877,126.9711466
새마을금고,37.58773706,126.9965181
혜화우체국,37.58603766,127.0006137
언덕앞,37.60895398,126.9637922
경희궁자이4단지,37.57070222,126.9621148
종로센트레빌후문.e편한세상보문아파트,37.58177439,127.0161855
사우디대사관앞.경남빌라,37.58410567,126.9850312
안국선원.삼거리,37.58279098,126.9849941
구기터널입구,37.60820461,126.9567769
종로3가.1.3.5호선,37.57107299,126.9921807
경복궁,37.57695016,126.9793378
소나무집,37.61127707,126.9641105
독립문역3번출구,37.57287848,126.9597453
청룡사.보문파크뷰자이아파트,37.58001895,127.0170071
북촌한옥마을입구.정세권활동터,37.58159973,126.9849422
종로1.2.3.4가동주민센터,37.57438371,126.9911314
창덕궁,37.57608925,126.99062
아름다운실버,37.61201006,126.9654637
독립문초등학교,37.57384748,126.9607207
종로센트레빌아파트,37.58035344,127.0156927
가회동주민센터,37.57993901,126.9848497
구기빌라,37.60626861,126.9579797
원남로터리,37.57623737,126.9975115
보현산신각,37.61348252,126.9657791
천사유치원,37.57464802,126.9618604
쌍용아파트입구.창신역,37.58051123,127.0149636
아름다운가게.정독도서관,37.57889917,126.985022
산정빌라,37.60515199,126.9574922
이화사거리,37.57646986,127.0020107
박종화고택입구,37.61431026,126.9676873
무악현대아파트후문,37.57630608,126.962001
헌법재판소.안국역,37.57755843,126.9856756
청구빌라,37.60461026,126.956984
서울대어린이병원응급실.갑상선센터,37.57811888,126.999503
화인빌라,37.61293453,126.9685386
넓은마당,37.57527281,126.962888
창신초등학교,37.5769032,127.0153886
수운회관,37.57515983,126.9865172
상명대후문,37.60402558,126.9573354
힐탑,37.61160556,126.9690206
신학대학교총회본부,37.57397631,126.9634446
낙원상가,37.57367762,126.9872919
완성빌라,37.60340209,126.9575011
서울대병원장례식장,37.5805554,126.997431
혜화역1번출구,37.58345422,127.0019407
감나무골공원,37.61240596,126.9699479
한국사회과학자료원,37.57363321,126.9641433
동묘역,37.57269435,127.0142454
금강제화,37.57054454,126.9874384
경진빌라,37.60200372,126.9578304
성균관대학교앞,37.58325978,126.9993359
EN갤러리,37.61340635,126.9707008
종로문화센터,37.57464708,126.9646262
