ID,ARS-ID,name,x,y
116000031,17117,영서중학교,126.892154,37.49003964
116000032,17118,구로두산아파트,126.890072,37.488807
116000033,17119,구로종합사회복지관,126.889168,37.487893
116000034,17120,남구로역,126.886787,37.485278
116000035,17121,남구로역,126.886453,37.48531
116000036,17122,한국산업단지공단.이마트구로점,126.8966246,37.48408103
116000037,17123,고용노동부관악지청.이마트구로점,126.8975581,37.483634
116000038,17124,디지털산업1단지,126.895158,37.48408965
116000039,17125,디지털산업1단지,126.8949148,37.48410295
116000040,17126,하이엔드1차·보건지소·치매센터,126.8925904,37.48142278
116000041,17127,지하이시티·보건지소·치매센터,126.8926352,37.48169766
116000042,17128,디지털단지오거리,126.8908839,37.4800218
116000043,17129,디지털단지오거리,126.890398,37.479933
116000044,17130,퀸즈빌,126.8329705,37.48738283
116000045,17131,가리봉시장,126.8871867,37.48288925
116000046,17132,가리봉시장,126.8869929,37.4824286
116000047,17133,남구로역,126.886268,37.48418
116000048,17134,구로4동자치회관,126.8856451,37.4860984
116000049,17135,구로시장,126.8849301,37.48779719
116000050,17136,구로시장,126.88461,37.48798
116000051,17137,구로4동우체국.고대구로병원정문,126.8842399,37.49024842
116000052,17138,구로4동우체국.고대구로병원정문,126.8840651,37.48990222
116000053,17139,구로119안전센터,126.8832313,37.49378426
116000054,17140,구로119안전센터,126.8829564,37.49383625
116000055,17141,우리유앤미아파트,126.8823841,37.49677418
116000056,17142,구로변전소.구로초등학교,126.8840767,37.49778869
116000057,17143,쌍용구로정비사업소,126.8823344,37.49957385
116000058,17144,구로역·NC신구로점,126.8828494,37.50003843
116000059,17145,구로역·NC신구로점,126.8827625,37.50067092
116000060,17146,구로역.구로기계공구상가,126.8793093,37.50356809
116000061,17147,구로역.구로기계공구상가,126.8789985,37.50341729
116000062,17148,기업은행구로중앙지점,126.877402,37.50516558
116000063,17149,기업은행구로중앙지점,126.8772441,37.50487346
116000619,17150,두암빌라,126.8255162,37.49527518
116900306,17151,항동우남퍼스트빌,126.8195068,37.47695883
116000066,17152,신도림중학교,126.8849527,37.50649443
116000067,17153,신도림중학교,126.884705,37.506772
116000068,17154,구로역,126.882277,37.50455
116000069,17155,구로역,126.8821395,37.5048451
116000618,17156,초롱타운회전교차로,126.8796057,37.49585798
116000616,17157,솔길공원,126.8804103,37.48868821
116000617,17158,GS25,126.8803486,37.4902248
117000928,17159,한일유앤아이아파트,126.8760349,37.48564621
116000627,17160,항동우남퍼스트빌,126.8188548,37.47698685
116000645,17161,구로SKV1지식산업센터,126.8172857,37.47774675
116000649,17162,구로SKV1.제일풍경채포레스트,126.8169706,37.4775158
116000078,17164,개봉사거리,126.8572965,37.49714471
116000080,17166,경인중학교,126.856259,37.49663444
116000082,17168,개봉치안센터,126.8518576,37.49819602
116000083,17169,오류1동주민센터.오류문화센터,126.8461421,37.49683797
116000084,17170,오류1동주민센터.오류문화센터,126.844651,37.49653144
116000085,17171,오류동역,126.8432552,37.4955528
116000086,17172,오류동역,126.842537,37.49560231
116000087,17173,씨티월드,126.8404926,37.49434433
116000088,17174,오류지구대.신오류주유소,126.8394648,37.49426454
116000089,17175,서울가든빌라앞,126.8313416,37.49113271
116000090,17176,서울가든빌라앞,126.8316708,37.491563
116000091,17177,성공회대학교유한공고앞,126.825182,37.48948272
116000647,17178,영풍마드레빌아파트.소공원사거리,126.8395381,37.49113093
116000093,17179,연세중앙교회,126.8354231,37.49310828
116000094,17180,궁동청소년문화의집,126.8329864,37.4932724
116000095,17181,궁동청소년문화의집.구로검사소,126.8334192,37.49308835
116000096,17182,우신고등학교,126.830847,37.4933
116000097,17183,우신고등학교,126.8304506,37.4930634
116000098,17184,온수역,126.82376,37.492802
116000099,17185,온수역,126.8244009,37.49277702
116000100,17186,온수동새마을금고,126.8243872,37.49605595
116000101,17187,정진학교.온수힐스테이트아파트,126.8221461,37.49697459
116000102,17188,수궁동주민센터,126.830866,37.494651
116000103,17189,수궁동주민센터,126.830852,37.494359
116000104,17190,수궁119안전센터,126.829596,37.496815
116000105,17191,수궁119안전센터,126.8293339,37.49678424
116000106,17192,예림디자인고.오류고.서울공연예술고,126.829242,37.498605
116000107,17193,예림디자인고.오류고.서울공연예술고,126.82904,37.4984
116000108,17194,서서울생활과학고.궁동도서관,126.8288507,37.50284435
116000177,17195,서서울생활과학고.궁동도서관,126.829059,37.50223191
116000605,17196,오남중학교.삼미주택,126.8367979,37.48853275
116000606,17197,오남중학교,126.8369269,37.48806508
116000111,17201,구로우체국.이펜하우스5단지후문,126.842512,37.48170896
116900276,17202,천왕역4번출구,126.8393715,37.4859414
116000113,17203,오류2동주민센터,126.8398756,37.48862201
116000114,17204,오류2동주민센터,126.8395882,37.48891757
116000115,17205,오류2동새마을금고,126.8406512,37.49052297
116000116,17206,오류2동새마을금고,126.8405838,37.49080132
116000117,17207,대원주유소,126.8565298,37.4869344
116000118,17208,대원주유소,126.8561852,37.4873584
116000119,17209,현대아파트.개봉중앙시장,126.8561637,37.49090061
116000120,17210,현대아파트.개봉중앙시장,126.855821,37.49094525
116000121,17211,덕의초등학교,126.8594403,37.50633773
116000122,17212,덕의초등학교,126.8583582,37.50615802
116000123,17213,고척근린공원,126.8552979,37.50472246
116000124,17214,고척근린공원.고척도서관,126.8544694,37.50463373
116000125,17215,세곡초등학교,126.8498423,37.50266835
116000126,17216,세곡초등학교,126.850607,37.50318205
116000127,17217,개봉푸르지오아파트,126.8478312,37.50213683
116000128,17218,개봉푸르지오아파트,126.8480532,37.50199384
116000129,17219,고척근린시장,126.850809,37.50112329
116000130,17220,용두연립,126.851795,37.49900153
116000622,17221,우리유엔미아파트,126.8826395,37.49704746
116000621,17222,쌍용구로정비사업소,126.8825792,37.49983757
116000133,17223,고척파크푸르지오아파트,126.8595394,37.5071993
116000134,17225,고척시장,126.8620162,37.50370865
116000135,17226,고척시장,126.8618403,37.50338495
116000136,17227,고척중학교,126.8639042,37.50044795
116000137,17228,고척중학교,126.8633064,37.50078337
116000138,17229,구로디지털단지역,126.901646,37.48348969
116000139,17230,삼부르네상스.효성아파트,126.8948241,37.47867011
116000140,17231,구일우성아파트,126.8757691,37.48920715
116000141,17232,구일우성아파트,126.875812,37.49013
116000142,17233,개봉역,126.8563774,37.4938619
116000143,17234,개봉역,126.8573362,37.49338727
